                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8924,                 6.8454,                 2.5418,                0.00715,                 0.0411,                0.00157,                0.00054,                  2.775,                 6.7829,                 2.4781,                 0.0001,                 0.0001,                 0.0001
                      2,                 2.2699,                 4.7107,                 2.0818,                0.34905,                0.19178,                0.18228,                0.05218,                 2.4154,                  8.277,                 2.0318,             0.00021891,             0.00021891,             0.00021891
                      3,                 2.0663,                 2.4308,                 1.7197,                0.58879,                0.49039,                 0.4515,                0.13886,                  2.521,                  3.547,                  2.152,             0.00033663,             0.00033663,             0.00033663
                      4,                 1.9429,                 2.0467,                 1.6448,                 0.5183,                0.60274,                0.54546,                0.21224,                 2.2525,                 3.1727,                  1.869,             0.00045317,             0.00045317,             0.00045317
                      5,                 1.9285,                 1.8028,                 1.6605,                0.70513,                0.52419,                0.59034,                0.19722,                  2.256,                 2.9751,                 1.8316,             0.00056852,             0.00056852,             0.00056852
                      6,                   1.85,                 1.5853,                 1.5483,                0.51284,                0.34247,                0.32875,                0.11808,                 2.2435,                 2.8531,                 1.7878,             0.00068267,             0.00068267,             0.00068267
                      7,                 1.8852,                 1.5982,                 1.5947,                0.00721,                0.31507,                0.00554,                0.00201,                 2.4841,                 55.196,                 2.1582,             0.00079565,             0.00079565,             0.00079565
                      8,                 1.8477,                 1.5326,                 1.5997,                0.01279,                0.43836,                 0.0089,                0.00353,                 2.3485,                 112.97,                 1.9934,             0.00090743,             0.00090743,             0.00090743
                      9,                  1.842,                 1.6609,                  1.613,                0.63798,                0.23288,                  0.278,                0.09636,                 2.5234,                 2.8772,                 2.1812,               0.001018,               0.001018,               0.001018
                     10,                 1.8648,                 1.4981,                 1.5723,                0.00769,                0.35616,                0.00559,                0.00208,                 2.6151,                    inf,                 3.7134,              0.0011274,              0.0011274,              0.0011274
                     11,                 1.9207,                 1.5533,                 1.6953,                0.30994,                0.20548,                0.13876,                0.05721,                    2.5,                 3.3306,                 2.2605,              0.0012357,              0.0012357,              0.0012357
                     12,                 1.8207,                  1.458,                 1.5744,                0.19004,                0.16438,                0.10218,                0.03825,                 2.5929,                  4.096,                 2.2632,              0.0013427,              0.0013427,              0.0013427
                     13,                 1.7437,                 1.4106,                 1.5035,                0.21143,                0.28767,                0.14476,                0.06121,                 2.2687,                  3.761,                 2.0256,              0.0014485,              0.0014485,              0.0014485
                     14,                 1.7243,                  1.289,                 1.4677,                0.10307,                0.28767,                0.07605,                0.02446,                 2.5561,                 5.2089,                 2.2279,              0.0015532,              0.0015532,              0.0015532
                     15,                  1.824,                 1.2572,                 1.5722,                0.10572,                0.43836,                0.07562,                0.02745,                 2.2971,                 6.3242,                 2.0088,              0.0016566,              0.0016566,              0.0016566
                     16,                 1.7888,                  1.289,                 1.5794,                0.02782,                0.56164,                0.02444,                0.00931,                 2.2961,                 56.914,                 2.0415,              0.0017589,              0.0017589,              0.0017589
